hhid14_9,age,marstat,sex,pidlink,dl01f,dl06,sw00,sw01,sw03,tk01a,tr11,kk01,kr03,female,fo01
308134200,34,2,1,308130005,E,4,4,3,4,1,3,3,1,0,1
308130000,30,2,3,308130006,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
308130000,40,2,1,308130007,E,3,4,4,5,1,4,4,1,0,1
308130000,32,2,1,308130010,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA
308134100,47,2,1,308134101,E,4,4,3,3,1,3,2,1,0,0
308134200,37,2,3,308134202,E L,4,4,4,5,1,3,3,1,1,1
308140000,41,2,1,308140003,E,1,3,3,3,1,3,2,1,0,0
308140000,49,2,3,308140006,L,1,5,3,4,1,4,2,1,1,1
308150000,76,5,3,308150002,E,1,5,3,4,0,4,3,1,1,1
308154100,48,2,3,308150003,E,3,3,3,4,0,3,3,1,1,1
